iso_time,t,phase,contact,used,delta,theta,alpha,beta,gamma,theta_z,alpha_z,beta_z,stress,attention,cognitive_load,difficulty,event
2026-06-26T18:19:46,12.203,idle,0,,,,,,,,,,,,,,
2026-06-26T18:19:47,13.208,idle,1,AF7+AF8,3.9314,3.8512,6.7501,45.181,26.326,,,,,,,,
2026-06-26T18:19:48,14.210,idle,1,AF7+AF8,5.7582,5.7906,7.0056,47.58,28.153,,,,,,,,
2026-06-26T18:19:49,15.218,idle,1,AF7+AF8,13.441,8.3686,9.6611,49.447,36.083,,,,,,,,
2026-06-26T18:19:50,16.222,idle,1,AF7+AF8,28.918,11.181,11.578,62.529,57.236,,,,,,,,
