iso_time,t,phase,contact,used,delta,theta,alpha,beta,gamma,theta_z,alpha_z,beta_z,stress,attention,cognitive_load,difficulty,event
2026-06-26T11:30:24,12.984,idle,0,,,,,,,,,,,,,,
2026-06-26T11:30:25,13.997,idle,1,TP9+AF7+AF8,956.35,679.9,284.48,277.6,208.65,,,,,,,,
2026-06-26T11:30:26,15.003,idle,1,TP9+AF7+AF8,2012.7,614.62,130.28,199.98,147.54,,,,,,,,
2026-06-26T11:30:27,16.005,idle,1,TP9+AF7+AF8,6436.9,3255.1,519.9,453.26,135.98,,,,,,,,
2026-06-26T11:30:28,17.018,idle,1,TP9+AF7+AF8,9573.9,11058,1757.2,1325.1,250.32,,,,,,,,
2026-06-26T11:30:29,18.028,idle,1,TP9+AF7+AF8,4499.1,3427.7,573.86,694.27,758.7,,,,,,,,
2026-06-26T11:30:30,19.035,idle,1,TP9+AF7+AF8,2796.5,279.94,107.72,382.87,952.33,,,,,,,,
2026-06-26T11:30:31,20.045,idle,1,TP9+AF7+AF8,2597.7,1616.1,269.77,326.9,400.45,,,,,,,,
2026-06-26T11:30:32,21.055,idle,1,TP9+AF7+AF8+TP10,25849,15318,7207.4,4425.9,1608.3,,,,,,,,
2026-06-26T11:30:33,22.065,idle,1,TP9+AF7+AF8+TP10,23901,17260,6360.4,4929.6,1739,,,,,,,,
2026-06-26T11:30:34,23.075,idle,1,TP9+AF7+AF8+TP10,12042,5276.5,1766.8,1420.1,747.58,,,,,,,,
2026-06-26T11:30:35,24.085,idle,1,TP9+AF7+AF8+TP10,22515,7264.5,1438.3,1234.1,478.92,,,,,,,,
2026-06-26T11:30:36,25.091,idle,1,TP9+AF7+AF8+TP10,1.0128e+05,12150,2111.1,1754,739.96,,,,,,,,
2026-06-26T11:30:37,26.093,idle,1,TP9+AF7+AF8+TP10,58642,6012,935.98,890.22,979.43,,,,,,,,
2026-06-26T11:30:38,27.099,idle,1,TP9+AF7+AF8+TP10,27280,4902.7,802.17,655.9,796.05,,,,,,,,
2026-06-26T11:30:39,28.109,idle,1,TP9+AF7+AF8+TP10,11311,3463.5,884.45,1500.4,665.44,,,,,,,,
2026-06-26T11:30:40,29.119,idle,1,TP9+AF7+AF8,55003,34806,7391.5,6135.8,1042.5,,,,,,,,
2026-06-26T11:30:41,30.126,idle,1,TP9+AF7+AF8,75884,61325,10097,7358.5,1287.6,,,,,,,,
2026-06-26T11:30:42,31.134,idle,1,TP9+AF7+AF8,14381,6353.3,880.75,715.35,190.43,,,,,,,,
2026-06-26T11:30:43,32.141,idle,1,TP9+AF7+AF8,38148,2174.6,359.99,329.41,182.32,,,,,,,,
2026-06-26T11:30:44,33.144,idle,1,TP9+AF7+AF8,20079,3348.2,695.33,489.73,178.62,,,,,,,,
2026-06-26T11:30:45,34.149,idle,1,TP9+AF7+AF8,10391,3086.7,564.59,468.62,143.42,,,,,,,,
2026-06-26T11:30:46,35.159,idle,1,TP9+AF7+AF8,11476,4056.7,572.56,485.71,90.635,,,,,,,,
2026-06-26T11:30:47,36.160,idle,1,TP9+AF7+AF8,5343.7,3271.7,329.6,286.13,65.862,,,,,,,,
2026-06-26T11:30:48,37.166,idle,1,TP9+AF7+AF8,3941.8,1480.8,548.87,350.19,84.991,,,,,,,,
2026-06-26T11:30:49,38.172,idle,1,TP9+AF7+AF8,1489.4,631.95,221.29,176.45,80.475,,,,,,,,
2026-06-26T11:30:50,39.183,idle,1,TP9+AF7+AF8,326.32,211.05,50.808,110.44,101.21,,,,,,,,
2026-06-26T11:30:51,40.193,idle,1,TP9+AF7+AF8,731.04,461.16,73.162,169.31,124.44,,,,,,,,
2026-06-26T11:30:52,41.203,idle,1,TP9+AF7+AF8,512.01,138.96,26.266,120.11,111.56,,,,,,,,
2026-06-26T11:30:53,42.209,idle,1,TP9+AF7+AF8,1221.4,78.132,27.42,147.88,170.27,,,,,,,,
2026-06-26T11:30:54,43.220,idle,1,TP9+AF7+AF8,617.76,55.073,19.599,97.911,94.765,,,,,,,,
2026-06-26T11:30:55,44.231,idle,1,TP9+AF7+AF8,423.94,120.46,32.072,92.54,79.491,,,,,,,,
2026-06-26T11:30:56,45.239,idle,1,TP9+AF7+AF8,1404.2,308.91,62.392,126.76,94.302,,,,,,,,
2026-06-26T11:30:57,46.244,idle,1,TP9+AF7+AF8,6011.7,415.64,77.262,171.63,147.32,,,,,,,,
2026-06-26T11:30:58,47.250,idle,1,TP9+AF7+AF8,32241,1969.5,297.92,534.76,850.35,,,,,,,,
2026-06-26T11:30:59,48.252,idle,1,TP9+AF7+AF8,22381,1785.6,291.54,619.02,859.86,,,,,,,,
2026-06-26T11:31:00,49.259,idle,1,TP9+AF7+AF8,5451.8,564.28,158.17,377.63,370.68,,,,,,,,
2026-06-26T11:31:01,50.265,idle,1,TP9+AF7+AF8,1338.5,324.83,74.844,205.51,249.85,,,,,,,,
2026-06-26T11:31:02,51.274,idle,1,TP9+AF7+AF8,1444.9,488.56,113.38,161.11,120.38,,,,,,,,
2026-06-26T11:31:03,52.281,idle,1,TP9+AF7+AF8,1750.8,352.33,93.481,135.17,103.03,,,,,,,,
2026-06-26T11:31:04,53.292,idle,1,TP9+AF7+AF8,281.33,64.691,29.316,82.528,91.076,,,,,,,,
2026-06-26T11:31:05,54.302,idle,1,TP9+AF7+AF8,19.3,11.681,14.218,67.957,69.967,,,,,,,,
2026-06-26T11:31:06,55.312,idle,1,TP9+AF7+AF8,104.38,48.819,22.219,89.515,66.83,,,,,,,,
2026-06-26T11:31:07,56.323,idle,1,TP9+AF7+AF8,203.44,57.697,24.721,93.576,77.307,,,,,,,,
2026-06-26T11:31:08,57.327,idle,1,TP9+AF7+AF8,542.39,104.51,35.421,97.83,104.08,,,,,,,,
2026-06-26T11:31:09,58.333,idle,1,TP9+AF7+AF8,1182.8,93.136,26.087,81.251,83.116,,,,,,,,
2026-06-26T11:31:10,59.339,idle,1,TP9+AF7+AF8,811.15,51.727,17.498,60.041,39.34,,,,,,,,
2026-06-26T11:31:11,60.348,idle,1,TP9+AF7+AF8,605.48,28.421,14.627,80.914,51.148,,,,,,,,
2026-06-26T11:31:12,61.358,idle,1,TP9+AF7+AF8,1222,777.88,270.19,163.08,91.352,,,,,,,,
2026-06-26T11:31:13,62.360,idle,1,TP9+AF7+AF8,4904.2,3709.4,1207.2,329.13,83.187,,,,,,,,
2026-06-26T11:31:14,63.370,idle,1,TP9+AF7+AF8,1594.3,1069.8,342.47,118.07,43.153,,,,,,,,
2026-06-26T11:31:15,64.378,idle,1,TP9+AF7+AF8,14.847,7.2485,9.3933,51.56,38.183,,,,,,,,
2026-06-26T11:31:16,65.385,idle,1,TP9+AF7+AF8,180.04,59.845,16.165,116.15,101.97,,,,,,,,
2026-06-26T11:31:17,66.395,idle,1,TP9+AF7+AF8,365.17,107.32,30.945,232.5,207.74,,,,,,,,
2026-06-26T11:31:18,67.405,idle,1,TP9+AF7+AF8+TP10,454.75,227.8,71.714,297.07,329.2,,,,,,,,
2026-06-26T11:31:19,68.409,idle,1,TP9+AF7+AF8+TP10,167.6,69.537,42.474,250.83,731.65,,,,,,,,
2026-06-26T11:31:20,69.410,idle,1,TP9+AF7+AF8+TP10,43.092,24.582,38.175,260.07,812.83,,,,,,,,
2026-06-26T11:31:21,70.417,idle,1,TP9+AF7+AF8+TP10,30.736,28.413,33.624,199.3,198.5,,,,,,,,
2026-06-26T11:31:22,71.426,idle,1,TP9+AF7+AF8+TP10,517.87,225.12,82.294,204.07,190.68,,,,,,,,
2026-06-26T11:31:23,72.440,idle,1,TP9+AF7+AF8+TP10,3019.5,613.68,163.27,267.18,267.23,,,,,,,,
2026-06-26T11:31:24,73.451,idle,1,TP9+AF7+AF8+TP10,1443.2,260.52,67.878,218.13,194.44,,,,,,,,
2026-06-26T11:31:25,74.460,idle,1,TP9+AF7+AF8+TP10,355.62,429.35,82.939,155.44,224.84,,,,,,,,
2026-06-26T11:31:26,75.471,idle,1,TP9+AF7+AF8+TP10,3532.1,3778.5,287.13,188.67,410.89,,,,,,,,
2026-06-26T11:31:27,76.482,idle,1,TP9+AF7+AF8+TP10,3687.6,3258.1,202.34,220.6,469.07,,,,,,,,
2026-06-26T11:31:28,77.489,idle,1,TP9+AF7+AF8+TP10,10226,7074.6,230.15,376.37,1315.2,,,,,,,,
2026-06-26T11:31:29,78.496,idle,1,TP9+AF7+AF8+TP10,4939.3,2869.8,112.41,234.28,617.65,,,,,,,,
2026-06-26T11:31:30,79.498,idle,1,TP9+AF7+AF8+TP10,210.81,149.87,65.19,153.26,128.12,,,,,,,,
2026-06-26T11:31:31,80.504,idle,1,TP9+AF7+AF8+TP10,329.95,163.46,55.604,161.98,107.95,,,,,,,,
2026-06-26T11:31:32,81.520,idle,1,TP9+AF7+AF8+TP10,547.14,242.83,56.303,211.08,141.92,,,,,,,,
2026-06-26T11:31:33,82.530,idle,1,TP9+AF7+AF8+TP10,603,273.2,89.012,184.26,136.96,,,,,,,,
2026-06-26T11:31:34,83.540,idle,1,TP9+AF7+AF8+TP10,219.55,104.37,63.763,134.63,110.07,,,,,,,,
2026-06-26T11:31:35,84.550,idle,1,TP9+AF7+AF8+TP10,300.48,103.83,65.836,142.26,144.37,,,,,,,,
2026-06-26T11:31:36,85.559,idle,1,TP9+AF7+AF8+TP10,964.96,189.91,67.429,126.66,154.58,,,,,,,,
2026-06-26T11:31:37,86.569,idle,1,TP9+AF7+AF8,14.034,6.259,6.4024,37.863,49.856,,,,,,,,
2026-06-26T11:31:38,87.576,idle,1,TP9+AF7+AF8,16.36,6.3583,6.7022,39.603,44.126,,,,,,,,
2026-06-26T11:31:39,88.579,idle,1,TP9+AF7+AF8,37.309,21.874,13.796,41.592,44.147,,,,,,,,
2026-06-26T11:31:40,89.585,idle,1,TP9+AF7+AF8,29.404,17.904,10.917,46.702,43.929,,,,,,,,
2026-06-26T11:31:41,90.591,idle,1,TP9+AF7+AF8,15.167,5.4677,8.6741,41.477,31.38,,,,,,,,
2026-06-26T11:31:42,91.594,idle,1,TP9+AF7+AF8,16.304,5.0047,10.277,37.202,27.663,,,,,,,,
2026-06-26T11:31:43,92.604,idle,1,TP9+AF7+AF8,9.5443,9.3023,10.07,41.029,28.332,,,,,,,,
2026-06-26T11:31:44,93.613,idle,1,TP9+AF7+AF8,6.0383,8.624,8.2203,44.934,32.263,,,,,,,,
2026-06-26T11:31:45,94.620,idle,1,TP9+AF7+AF8+TP10,49.203,18.112,12.151,93.993,98.296,,,,,,,,
2026-06-26T11:31:46,95.632,idle,1,TP9+AF7+AF8+TP10,37.662,27.534,17.99,103.58,99.5,,,,,,,,
2026-06-26T11:31:48,96.641,idle,1,TP9+AF7+AF8+TP10,425.3,90.457,34.589,109.22,82.806,,,,,,,,
