iso_time,t,phase,contact,used,delta,theta,alpha,beta,gamma,theta_z,alpha_z,beta_z,stress,attention,cognitive_load,difficulty,event
2026-06-26T16:43:31,12.154,idle,0,,,,,,,,,,,,,,
2026-06-26T16:43:32,13.165,idle,1,AF8,18.177,12.504,7.5134,9.0318,3.9579,,,,,,,,
2026-06-26T16:43:33,14.174,idle,1,AF8,13.027,17.2,8.5021,15.458,7.6478,,,,,,,,
2026-06-26T16:43:34,15.181,idle,1,AF8,12.456,17.102,6.5511,15.662,8.8965,,,,,,,,
2026-06-26T16:43:35,16.188,idle,1,AF8,5.7274,6.2537,2.722,13.711,8.7162,,,,,,,,
2026-06-26T16:43:36,17.194,idle,1,AF8,11.605,3.7665,3.5102,16.644,12.357,,,,,,,,
2026-06-26T16:43:37,18.196,idle,1,AF8,66.079,17.889,4.2485,14.865,14.112,,,,,,,,
2026-06-26T16:43:38,19.201,idle,1,AF8,49.83,14.912,4.0008,10.216,6.7908,,,,,,,,
2026-06-26T16:43:39,20.208,idle,1,AF8,6.4897,8.979,4.1351,7.8038,4.1441,,,,,,,,
2026-06-26T16:43:40,21.213,idle,1,AF8,1344.6,95.387,5.5673,17.093,9.7538,,,,,,,,
2026-06-26T16:43:41,22.218,idle,1,AF8,16095,669.83,33.997,75.095,63.282,,,,,,,,
2026-06-26T16:43:42,23.226,idle,1,AF8,9613.5,298.24,26.089,70.413,89.268,,,,,,,,
2026-06-26T16:43:43,24.229,idle,1,AF7+AF8,171.16,172.11,52.073,369.42,517.6,,,,,,,,
2026-06-26T16:43:44,25.233,idle,1,AF7+AF8,107.79,95.59,34.866,353.44,349.86,,,,,,,,
2026-06-26T16:43:45,26.240,idle,1,AF7+AF8,705.85,109.66,58.486,345.71,370.23,,,,,,,,
2026-06-26T16:43:46,27.247,idle,1,AF7+AF8,1367.6,216.82,103.96,490.03,526.87,,,,,,,,
2026-06-26T16:43:47,28.255,idle,1,AF8,4732.6,203.07,31.999,17.901,9.4475,,,,,,,,
2026-06-26T16:43:48,29.259,idle,1,AF8,4394,151.49,28.134,12.314,4.4339,,,,,,,,
2026-06-26T16:43:49,30.262,idle,1,AF8,420.67,77.732,18.415,14.66,4.775,,,,,,,,
2026-06-26T16:43:50,31.268,idle,1,AF8,5485.5,1542.3,343.63,152.58,25.672,,,,,,,,
2026-06-26T16:43:51,32.277,idle,1,AF8,17269,3423.4,606.16,220.25,60.753,,,,,,,,
2026-06-26T16:43:52,33.284,idle,1,AF8,8543.7,1300.7,234.34,113.02,81.103,,,,,,,,
2026-06-26T16:43:53,34.288,idle,1,AF8,1438.8,435.12,121.99,46.003,33.156,,,,,,,,
2026-06-26T16:43:54,35.292,idle,1,AF8,6614.6,2176.9,408.02,70.303,8.5176,,,,,,,,
2026-06-26T16:43:55,36.298,idle,1,AF8,2779.5,768.42,108.91,28.846,5.3701,,,,,,,,
2026-06-26T16:43:56,37.304,idle,1,AF8,355.1,23.76,10.481,8.771,5.011,,,,,,,,
2026-06-26T16:43:57,38.314,idle,1,AF8,1922.6,99.976,19.162,20.3,11.944,,,,,,,,
2026-06-26T16:43:58,39.321,idle,1,AF8,32141,2802.1,423.57,197.8,90.849,,,,,,,,
2026-06-26T16:43:59,40.325,idle,1,AF8,46638,3749,583.5,316.68,211.44,,,,,,,,
2026-06-26T16:44:00,41.331,idle,1,AF8,3457.6,247.39,46.727,100.86,97.687,,,,,,,,
2026-06-26T16:44:01,42.337,idle,1,AF8,780.08,69.916,13.293,30.398,19.559,,,,,,,,
2026-06-26T16:44:02,43.340,idle,1,AF8,1607.9,211.13,58.124,35.439,36.087,,,,,,,,
2026-06-26T16:44:03,44.347,idle,1,AF8,29850,4375.7,2087.2,659.65,483.05,,,,,,,,
2026-06-26T16:44:04,45.355,idle,1,AF8,50220,8774.4,4118.6,1210.8,505.66,,,,,,,,
2026-06-26T16:44:05,46.358,idle,1,AF8,28612,5432.8,1098.2,459.23,79.563,,,,,,,,
2026-06-26T16:44:06,47.367,idle,1,AF8,8787.6,1835.9,210.16,135.87,19.078,,,,,,,,
2026-06-26T16:44:07,48.374,idle,1,AF8,2007.6,901.94,190.35,88.246,17.919,,,,,,,,
2026-06-26T16:44:08,49.381,idle,1,AF8,36067,17694,7018.8,2326.9,1981.7,,,,,,,,
2026-06-26T16:44:09,50.385,idle,1,AF8,85552,23211,9549.9,3032.5,3232.4,,,,,,,,
2026-06-26T16:44:10,51.388,idle,1,AF7+AF8,22189,5186.1,1304,1216.8,495.29,,,,,,,,
2026-06-26T16:44:11,52.394,idle,1,AF7+AF8,11152,2153.6,396.48,802.05,1071.7,,,,,,,,
2026-06-26T16:44:12,53.396,idle,1,AF7+AF8,22289,2910.5,677.85,1016.5,1210.2,,,,,,,,
2026-06-26T16:44:13,54.401,idle,1,AF7+AF8,21413,3302.5,1273.6,882.04,385.08,,,,,,,,
2026-06-26T16:44:14,55.408,idle,1,AF7+AF8,14591,2561.1,1509.4,684.75,284.42,,,,,,,,
2026-06-26T16:44:15,56.417,idle,1,AF7+AF8,4370.4,664.93,365.4,340.11,237.42,,,,,,,,
2026-06-26T16:44:16,57.421,idle,1,AF7+AF8,469.07,289.55,104.58,220.4,185.99,,,,,,,,
2026-06-26T16:44:17,58.428,idle,1,AF7+AF8,290.01,288.28,78.933,233.87,227.02,,,,,,,,
2026-06-26T16:44:18,59.437,idle,1,AF7+AF8,705.76,548.01,64.929,306.36,221.69,,,,,,,,
2026-06-26T16:44:19,60.442,idle,1,AF7+AF8,401.72,303.99,71.949,292.52,189.92,,,,,,,,
2026-06-26T16:44:20,61.446,idle,1,AF7+AF8,197.13,100.93,38.475,215.1,163.11,,,,,,,,
2026-06-26T16:44:21,62.449,idle,1,AF7+AF8,140.13,47.766,35.495,229.66,169.69,,,,,,,,
2026-06-26T16:44:22,63.459,idle,1,AF7+AF8,312.25,57.76,60.125,232.94,156.02,,,,,,,,
2026-06-26T16:44:23,64.464,idle,1,AF7+AF8,824.61,574.63,69.485,238.89,159.84,,,,,,,,
2026-06-26T16:44:24,65.467,idle,1,AF7+AF8,876.51,815,83.128,258.73,176.11,,,,,,,,
2026-06-26T16:44:25,66.475,idle,1,AF7+AF8,1950.5,352.45,65.289,310.54,266.1,,,,,,,,
2026-06-26T16:44:26,67.483,baseline_rest,1,AF7+AF8,8798.3,1140.7,99.919,416.38,411.61,,,,,,,,
2026-06-26T16:44:27,68.487,baseline_rest,1,AF7+AF8,3788.4,691.34,93.231,438.8,431.16,,,,,,,,
2026-06-26T16:44:28,69.492,baseline_rest,1,AF7+AF8,3145,747.37,252.82,459.93,605.13,,,,,,,,
2026-06-26T16:44:29,70.499,baseline_rest,1,AF7+AF8,6045,1992.4,812.92,488.78,651.23,,,,,,,,
2026-06-26T16:44:30,71.505,baseline_rest,1,AF7+AF8,8123.3,3165,650.09,574.56,482.44,,,,,,,,
2026-06-26T16:44:31,72.510,baseline_rest,1,AF7+AF8,2694.9,1215.6,171.68,465.29,460.88,,,,,,,,
2026-06-26T16:44:32,73.514,baseline_rest,1,AF7+AF8,1016.2,336.53,97.028,408.64,365.53,,,,,,,,
2026-06-26T16:44:33,74.518,baseline_rest,1,AF7+AF8,1412.8,256.69,65.987,392.52,294.01,,,,,,,,
2026-06-26T16:44:34,75.524,baseline_rest,1,AF7+AF8,878.35,158.94,69.221,487.77,370.79,,,,,,,,
2026-06-26T16:44:35,76.525,baseline_rest,1,AF7+AF8,4953.3,1016.1,277.59,615.74,414.79,,,,,,,,
2026-06-26T16:44:36,77.532,baseline_rest,1,AF7+AF8,5229.7,1245.2,306.31,643.51,375.66,,,,,,,,
2026-06-26T16:44:37,78.534,baseline_rest,1,AF7+AF8,2068.3,232.02,77.635,504.02,315.51,,,,,,,,
2026-06-26T16:44:38,79.537,baseline_rest,1,AF7+AF8,227.36,50.753,25.523,371.89,301.14,,,,,,,,
2026-06-26T16:44:39,80.543,baseline_rest,1,AF7+AF8,20.96,37.603,18.249,265.09,271.26,,,,,,,,
2026-06-26T16:44:40,81.551,baseline_rest,1,AF7+AF8,52.884,41.308,12.71,249.4,237.75,,,,,,,,
2026-06-26T16:44:41,82.557,baseline_rest,1,AF7+AF8,72.17,80.25,19.892,204.53,221.07,,,,,,,,
2026-06-26T16:44:42,83.564,baseline_rest,1,AF7+AF8,117.79,88.17,21.7,223.47,214.96,,,,,,,,
2026-06-26T16:44:43,84.568,baseline_rest,1,AF7+AF8,277.12,82.252,30.399,244.9,230.74,,,,,,,,
2026-06-26T16:44:44,85.574,baseline_rest,1,AF7+AF8,113.49,35.944,25.257,194.33,214.24,,,,,,,,
2026-06-26T16:44:45,86.575,baseline_rest,1,AF7+AF8,290.45,86.313,45.872,161.79,177.81,,,,,,,,
2026-06-26T16:44:46,87.581,baseline_rest,1,AF7+AF8,231.95,202.47,94.85,193.27,167.21,,,,,,,,
2026-06-26T16:44:47,88.583,idle,1,AF7+AF8,110.7,194.62,101.15,197.61,165.86,,,,,,,,
2026-06-26T16:44:48,89.590,idle,1,AF7+AF8,356.03,128.67,57.908,210.7,212.16,,,,,,,,
2026-06-26T16:44:49,90.595,baseline_active,1,AF7+AF8,271.49,77.234,54.194,219.4,227.01,,,,,,,,
2026-06-26T16:44:50,91.599,baseline_active,1,AF7+AF8,1526.7,334.81,81.262,191.06,158.69,,,,,,,,
2026-06-26T16:44:51,92.606,baseline_active,1,AF7+AF8,2113.9,430.83,82.819,198.45,192.72,,,,,,,,
