iso_time,t,phase,contact,used,delta,theta,alpha,beta,gamma,theta_z,alpha_z,beta_z,stress,attention,cognitive_load,difficulty,event
2026-06-26T17:27:06,12.112,idle,0,,,,,,,,,,,,,,
2026-06-26T17:27:07,13.126,idle,1,AF7+AF8,79.59,30.522,5.5803,11.591,10.076,,,,,,,,
2026-06-26T17:27:08,14.131,idle,1,AF7+AF8,29.128,16.878,4.1357,11.364,7.907,,,,,,,,
2026-06-26T17:27:09,15.139,idle,1,AF7+AF8,15.284,13.994,4.0457,10.642,8.2271,,,,,,,,
2026-06-26T17:27:10,16.142,baseline_rest,1,AF7+AF8,78.78,43.549,9.3042,13.649,13.401,,,,,,,,
2026-06-26T17:27:11,17.147,baseline_rest,1,AF7+AF8,74.47,37.461,8.1954,17.3,13.128,,,,,,,,
2026-06-26T17:27:12,18.152,baseline_rest,1,AF7+AF8,10.201,8.5643,4.7736,13.276,9.5189,,,,,,,,
2026-06-26T17:27:13,19.157,baseline_rest,1,AF7+AF8,6.4293,4.714,6.6178,12.264,10.113,,,,,,,,
2026-06-26T17:27:14,20.165,baseline_rest,1,AF7+AF8,7.6298,7.0983,4.7013,15.133,10.295,,,,,,,,
2026-06-26T17:27:15,21.176,baseline_rest,1,AF7+AF8,47.201,20.812,5.4787,13.652,12.049,,,,,,,,
2026-06-26T17:27:16,22.184,baseline_rest,1,AF7+AF8,662.35,161.5,13.776,19.692,13.78,,,,,,,,
2026-06-26T17:27:17,23.188,baseline_rest,1,AF7+AF8,723.66,136.84,15.163,20.081,11.638,,,,,,,,
2026-06-26T17:27:18,24.196,baseline_rest,1,AF7+AF8,893.92,109.95,32.354,25.858,13.029,,,,,,,,
2026-06-26T17:27:19,25.204,baseline_rest,1,AF7+AF8,588.33,113.91,35.91,26.793,16.237,,,,,,,,
2026-06-26T17:27:20,26.211,baseline_rest,1,AF7+AF8,169.13,52.725,25.094,19.81,9.5148,,,,,,,,
2026-06-26T17:27:21,27.213,baseline_rest,1,AF7+AF8,60.736,14.45,11.097,17.861,6.753,,,,,,,,
2026-06-26T17:27:22,28.215,baseline_rest,1,AF7+AF8,41.219,8.5108,7.9233,14.8,7.5678,,,,,,,,
2026-06-26T17:27:23,29.221,baseline_rest,1,AF7+AF8,98.295,13.565,6.6162,13.956,6.5909,,,,,,,,
2026-06-26T17:27:24,30.223,baseline_rest,1,AF7+AF8,55.573,10.454,5.0992,12.772,8.0245,,,,,,,,
2026-06-26T17:27:25,31.230,baseline_rest,1,AF7+AF8,12.843,9.4896,5.2717,13.968,10.602,,,,,,,,
2026-06-26T17:27:26,32.236,baseline_rest,1,AF7+AF8,20.567,11.394,5.1804,14.162,10.681,,,,,,,,
2026-06-26T17:27:27,33.245,baseline_rest,1,AF7+AF8,117.37,46.764,8.9937,20.507,11.036,,,,,,,,
2026-06-26T17:27:28,34.253,baseline_rest,1,AF7+AF8,192.19,50.167,7.155,16.324,9.7299,,,,,,,,
2026-06-26T17:27:29,35.260,baseline_rest,1,AF7+AF8,32.365,9.8055,3.418,12.03,6.2652,,,,,,,,
2026-06-26T17:27:30,36.267,baseline_rest,1,AF7+AF8,7.8887,5.8568,4.1349,11.223,5.1071,,,,,,,,
2026-06-26T17:27:31,37.272,idle,1,AF7+AF8,40.204,18.118,5.8098,10.499,6.4061,,,,,,,,
2026-06-26T17:27:32,38.276,idle,1,AF7+AF8,15148,2413.2,64.239,93.464,58.017,,,,,,,,
2026-06-26T17:27:33,39.281,baseline_active,1,AF7+AF8,41994,7023,166.18,273.49,162.84,,,,,,,,
2026-06-26T17:27:34,40.286,baseline_active,1,AF7+AF8,7428.4,1369.6,65.714,109.46,87.336,,,,,,,,
2026-06-26T17:27:35,41.293,baseline_active,1,AF7+AF8,120.61,44.088,21.308,45.308,82.885,,,,,,,,
2026-06-26T17:27:36,42.300,baseline_active,1,AF7+AF8,63.451,23.475,7.0247,30.775,97.153,,,,,,,,
2026-06-26T17:27:37,43.306,baseline_active,1,AF7+AF8,94.68,42.758,12.865,37.478,71.263,,,,,,,,
2026-06-26T17:27:38,44.310,baseline_active,1,AF7+AF8,107.08,50.512,17.334,39.885,64.549,,,,,,,,
2026-06-26T17:27:39,45.317,baseline_active,1,AF7+AF8,86.428,31.498,7.7027,36.336,57.444,,,,,,,,
2026-06-26T17:27:40,46.318,baseline_active,1,AF7+AF8,389.34,74.881,19.977,41.22,38.127,,,,,,,,
2026-06-26T17:27:41,47.324,baseline_active,1,AF7+AF8,1428.2,311.77,58.6,75.148,38.909,,,,,,,,
2026-06-26T17:27:42,48.325,baseline_active,1,AF7+AF8,1030.5,287.16,36.19,51.607,24.897,,,,,,,,
2026-06-26T17:27:43,49.332,baseline_active,1,AF7+AF8,283.4,62.564,16,48.491,39.712,,,,,,,,
2026-06-26T17:27:44,50.339,baseline_active,1,AF7+AF8,129.68,29.294,17.879,45.78,48.957,,,,,,,,
2026-06-26T17:27:45,51.344,baseline_active,1,AF7+AF8,63.194,11.485,8.6172,35.592,48.351,,,,,,,,
2026-06-26T17:27:46,52.350,baseline_active,1,AF7+AF8,262.83,32.549,15.684,37.219,34.643,,,,,,,,
2026-06-26T17:27:47,53.357,baseline_active,1,AF7+AF8,303.39,54.712,19.878,33.379,21.016,,,,,,,,
2026-06-26T17:27:48,54.361,baseline_active,1,AF7+AF8,209.95,54.133,13.402,16.843,13.305,,,,,,,,
2026-06-26T17:27:49,55.367,baseline_active,1,AF7+AF8,224.44,29.053,8.7578,15.22,8.7422,,,,,,,,
2026-06-26T17:27:50,56.373,baseline_active,1,AF7+AF8,487.92,37.75,14.764,35.304,12.851,,,,,,,,
2026-06-26T17:27:51,57.375,baseline_active,1,AF7+AF8,106.81,16.526,8.774,25.127,10.994,,,,,,,,
2026-06-26T17:27:52,58.383,baseline_active,1,AF7+AF8,54.901,18.989,5.8846,12.863,8.7785,,,,,,,,
2026-06-26T17:27:53,59.391,baseline_active,1,AF7+AF8,105.1,32.041,8.2209,11.426,8.4911,,,,,,,,
2026-06-26T17:27:54,60.399,baseline_active,1,AF7+AF8,173.72,33.461,9.1453,14.927,8.8564,,,,,,,,
2026-06-26T17:27:55,61.405,baseline_active,1,AF7+AF8,76.381,27.948,10.237,17.26,9.1361,,,,,,,,
2026-06-26T17:27:56,62.412,baseline_active,1,AF7+AF8,33.998,18.185,4.9773,12.602,8.8247,,,,,,,,
2026-06-26T17:27:57,63.418,baseline_active,1,AF7+AF8,11.934,8.2702,5.2612,13.401,8.2142,,,,,,,,
2026-06-26T17:27:58,64.424,baseline_active,1,AF7+AF8,18.141,16.324,7.7106,13.638,6.7406,,,,,,,,
2026-06-26T17:27:59,65.426,baseline_active,1,AF7+AF8,38.314,17.641,6.8474,13.944,6.2009,,,,,,,,
2026-06-26T17:28:00,66.431,baseline_active,1,AF7+AF8,56.567,17.248,8.6965,13.344,7.7295,,,,,,,,
2026-06-26T17:28:01,67.433,baseline_active,1,AF7+AF8,20.123,11.373,4.6072,11.503,5.686,,,,,,,,
2026-06-26T17:28:02,68.436,baseline_active,1,AF7+AF8,43.791,15.078,3.5244,10.462,6.021,,,,,,,,
2026-06-26T17:28:03,69.444,baseline_active,1,AF7+AF8,19.534,10.981,4.0912,13.906,6.4205,,,,,,,,
2026-06-26T17:28:04,70.451,baseline_active,1,AF7+AF8,12.997,7.6475,3.9924,15.911,5.4754,,,,,,,,
2026-06-26T17:28:05,71.456,baseline_active,1,AF7+AF8,14.309,7.6956,3.7604,12.708,5.7019,,,,,,,,
2026-06-26T17:28:06,72.461,baseline_active,1,AF7+AF8,13.489,8.3048,3.7842,13.582,6.2541,,,,,,,,
2026-06-26T17:28:07,73.469,baseline_active,1,AF7+AF8,14.603,13.494,6.9261,22.043,6.8395,,,,,,,,
2026-06-26T17:28:08,74.470,baseline_active,1,AF7+AF8,113.84,88.057,34.215,26.094,9.8893,,,,,,,,
2026-06-26T17:28:09,75.476,baseline_active,1,AF7+AF8,134.43,83.288,29.038,26.551,12.821,,,,,,,,
2026-06-26T17:28:10,76.482,baseline_active,1,AF7+AF8,20.376,12.208,6.3704,22.743,12.485,,,,,,,,
2026-06-26T17:28:11,77.489,baseline_active,1,AF7+AF8,15.726,8.3163,6.4149,16.59,11.014,,,,,,,,
2026-06-26T17:28:12,78.497,baseline_active,1,AF7+AF8,27.706,15.7,9.0755,13.191,8.0771,,,,,,,,
2026-06-26T17:28:13,79.502,baseline_active,1,AF7+AF8,45.16,25.858,11.836,15.138,8.5872,,,,,,,,
2026-06-26T17:28:14,80.510,baseline_active,1,AF7+AF8,33.707,20.757,7.3027,18.148,7.477,,,,,,,,
2026-06-26T17:28:15,81.518,baseline_active,1,AF7+AF8,36.414,18.486,6.9855,20.356,7.5119,,,,,,,,
2026-06-26T17:28:16,82.521,baseline_active,1,AF7+AF8,40.06,17.94,6.5536,13.11,6.5274,,,,,,,,
2026-06-26T17:28:17,83.527,baseline_active,1,AF7+AF8,31.646,13.791,6.1374,15.124,7.3512,,,,,,,,
2026-06-26T17:28:18,84.532,baseline_active,1,AF7+AF8,27.799,10.305,4.6109,12.271,6.6026,,,,,,,,
2026-06-26T17:28:19,85.536,baseline_active,1,AF7+AF8,22.576,12.925,4.8773,10.309,7.9575,,,,,,,,
2026-06-26T17:28:20,86.544,baseline_active,1,AF7+AF8,6.8925,9.1591,4.1426,10.817,7.9351,,,,,,,,
2026-06-26T17:28:21,87.551,baseline_active,1,AF7+AF8,7.7281,9.5372,3.8569,8.7831,7.876,,,,,,,,
2026-06-26T17:28:23,88.555,baseline_active,1,AF7+AF8,11.014,9.6152,3.3794,8.4033,6.6717,,,,,,,,
2026-06-26T17:28:24,89.562,baseline_active,1,AF7+AF8,15.541,10.299,4.6211,10.56,5.4951,,,,,,,,
2026-06-26T17:28:25,90.567,baseline_active,1,AF7+AF8,13.088,7.038,4.3735,14.486,7.0283,,,,,,,,
2026-06-26T17:28:26,91.571,baseline_active,1,AF7+AF8,8.0069,5.6659,3.29,12.478,9.2975,,,,,,,,
2026-06-26T17:28:27,92.576,active,1,AF7+AF8,16.806,13.388,4.8965,11.731,7.9672,-0.19345,-0.39448,-0.50295,0.49837,0.49537,0.51506,,
2026-06-26T17:28:28,93.580,active,1,AF7+AF8,21.894,13.643,4.5332,11.509,6.9351,-0.19115,-0.40811,-0.56277,0.49625,0.49036,0.52228,,
2026-06-26T17:28:29,94.585,active,1,AF7+AF8,12.543,8.9791,3.8502,12.683,6.9774,-0.19849,-0.43718,-0.45724,0.497,0.48764,0.52679,Easy,
2026-06-26T17:28:30,95.595,active,1,AF7+AF8,25.456,13.117,6.3033,17.558,10.398,-0.19232,-0.3364,-0.16742,0.51146,0.49693,0.52574,Easy,
2026-06-26T17:28:31,96.598,active,1,AF7+AF8,25.062,11.845,4.6379,16.478,11.578,-0.19345,-0.4028,-0.24877,0.51613,0.49646,0.52598,Easy,
2026-06-26T17:28:32,97.604,active,1,AF7+AF8,23.688,10.679,6.7207,14,8.8215,-0.19421,-0.31765,-0.36316,0.51351,0.49436,0.52472,Easy,
2026-06-26T17:28:33,98.610,active,1,AF7+AF8,18.824,13.346,7.202,16.835,7.4718,-0.19045,-0.29984,-0.16487,0.51552,0.49966,0.52339,Easy,
2026-06-26T17:28:34,99.616,active,1,AF7+AF8,26.092,15.282,7.1273,17.095,8.1134,-0.18588,-0.30494,-0.16066,0.51703,0.50176,0.52237,Easy,
2026-06-26T17:28:35,100.620,active,1,AF7+AF8,12.06,7.955,5.4407,14.31,6.8145,-0.20445,-0.37381,-0.37156,0.51502,0.49904,0.52222,Easy,
