iso_time,t,phase,contact,used,delta,theta,alpha,beta,gamma,theta_z,alpha_z,beta_z,stress,attention,cognitive_load
2026-06-25T23:50:13,12.263,idle,0,,,,,,,,,,,,
2026-06-25T23:50:14,13.279,idle,1,TP9+AF7+AF8,8120.6,1349.9,703.18,1174.8,686.78,,,,,,
2026-06-25T23:50:15,14.285,idle,1,TP9+AF7+AF8,7010.9,1822.7,375.12,956.42,649.71,,,,,,
2026-06-25T23:50:16,15.293,idle,1,TP9+AF7+AF8,4622.8,1396.6,226.17,521.9,767.55,,,,,,
2026-06-25T23:50:17,16.302,idle,1,TP9+AF7+AF8,1639.7,529.52,121.65,254.23,588.38,,,,,,
2026-06-25T23:50:18,17.311,idle,1,TP9+AF7+AF8,750.27,546.43,80.389,214.52,258.79,,,,,,
2026-06-25T23:50:19,18.318,idle,1,TP9+AF7+AF8,1853.2,1584.3,362.18,295.27,299.79,,,,,,
2026-06-25T23:50:20,19.322,idle,1,TP9+AF7+AF8,2023.7,1333,376.78,278.01,244.95,,,,,,
2026-06-25T23:50:21,20.327,idle,1,TP9+AF7+AF8,2288.5,815.59,147.85,175.15,181.05,,,,,,
2026-06-25T23:50:22,21.334,idle,1,TP9+AF7+AF8,3475.6,1102.2,164.26,182.58,162.61,,,,,,
2026-06-25T23:50:23,22.340,idle,1,TP9+AF7+AF8,3136.7,774.07,126.88,178.28,194.75,,,,,,
2026-06-25T23:50:24,23.348,idle,1,TP9+AF7+AF8,7306,1957.2,482.19,358.59,321.54,,,,,,
2026-06-25T23:50:25,24.358,idle,1,TP9+AF7+AF8,29511,5905.3,1840,1460.1,697.21,,,,,,
2026-06-25T23:50:26,25.368,idle,1,TP9+AF7+AF8,22029,10859,3157,2653.8,970.88,,,,,,
2026-06-25T23:50:27,26.377,idle,1,TP9+AF7+AF8,12624,12369,3743,2951.3,981.7,,,,,,
2026-06-25T23:50:28,27.387,idle,1,AF7+AF8,30453,8907.9,3733.7,2525.9,416.56,,,,,,
2026-06-25T23:50:29,28.393,idle,1,AF7+AF8,62720,7592.6,3674.2,2783.3,630.54,,,,,,
2026-06-25T23:50:30,29.397,idle,1,AF7+AF8,66978,6400.2,1579.9,1297.1,357.69,,,,,,
2026-06-25T23:50:31,30.402,idle,1,AF7+AF8,14276,2757.3,664.46,506.69,95.385,,,,,,
2026-06-25T23:50:32,31.405,idle,1,AF7+AF8,1745.3,792.06,303.71,237.17,41.906,,,,,,
2026-06-25T23:50:33,32.411,idle,1,AF7+AF8,3626.7,1863.9,609.58,540.98,87.396,,,,,,
2026-06-25T23:50:34,33.420,idle,1,AF7+AF8,15681,5291.7,1377.5,1026.8,196.92,,,,,,
2026-06-25T23:50:35,34.430,idle,1,AF7+AF8,67037,25259,5206.5,2952.2,524.6,,,,,,
2026-06-25T23:50:36,35.439,idle,1,AF7+AF8,59044,26073,6348.6,3483.5,622.57,,,,,,
2026-06-25T23:50:37,36.447,idle,1,AF8,82004,34524,14137,4079.5,1023.2,,,,,,
2026-06-25T23:50:38,37.457,idle,1,AF7+AF8,94255,15027,5578.3,2695.4,517.12,,,,,,
2026-06-25T23:50:39,38.463,idle,1,AF7+AF8,1.3499e+05,8684,3260.5,3075.7,737.23,,,,,,
2026-06-25T23:50:40,39.471,idle,1,AF7+AF8,71818,3898.1,1746.8,2179.7,472.94,,,,,,
2026-06-25T23:50:41,40.480,idle,1,AF7+AF8,54822,5084.1,1032.4,1527.9,281.13,,,,,,
2026-06-25T23:50:42,41.484,idle,1,AF7+AF8,27533,3436.9,454.33,667.31,134.9,,,,,,
2026-06-25T23:50:43,42.490,idle,1,AF7+AF8,2954.5,307.09,87.634,131.12,32.613,,,,,,
2026-06-25T23:50:44,43.495,idle,1,AF7+AF8,652.1,144.67,53.273,54.882,24.57,,,,,,
2026-06-25T23:50:45,44.501,idle,1,AF7+AF8,380.92,83.583,53.084,49.716,26.565,,,,,,
2026-06-25T23:50:46,45.511,idle,1,AF7+AF8,822.44,132.41,84.642,89.515,33.732,,,,,,
2026-06-25T23:50:47,46.521,idle,1,AF7+AF8,1292.3,339.41,204.31,231.83,72.845,,,,,,
2026-06-25T23:50:48,47.531,idle,1,TP9+AF7+AF8,1634,1659.3,445.89,399,285.62,,,,,,
2026-06-25T23:50:49,48.536,idle,1,TP9+AF7+AF8,842.36,965.36,202.71,242.49,263.48,,,,,,
2026-06-25T23:50:50,49.541,baseline_rest,1,TP9+AF7+AF8,655.6,577.07,78.902,166.84,209.47,,,,,,
2026-06-25T23:50:51,50.549,baseline_rest,1,TP9+AF7+AF8,936.16,581.12,108.89,224.66,204.72,,,,,,
2026-06-25T23:50:52,51.559,baseline_rest,1,TP9+AF7+AF8,1377.5,630.73,117.11,274.22,293.91,,,,,,
2026-06-25T23:50:53,52.566,baseline_rest,1,TP9+AF7+AF8,1141.8,508.35,135.48,218.36,268.57,,,,,,
2026-06-25T23:50:54,53.572,baseline_rest,1,TP9+AF7+AF8,2118.9,919.47,235.38,265.63,300.15,,,,,,
