iso_time,t,phase,contact,used,delta,theta,alpha,beta,gamma,theta_z,alpha_z,beta_z,stress,attention,cognitive_load
2026-06-25T23:19:58,12.747,idle,0,,,,,,,,,,,,
2026-06-25T23:19:59,13.817,idle,1,TP9+AF7+AF8+TP10,807.73,397.9,96.428,368.57,244.47,,,,,,
2026-06-25T23:20:00,14.827,idle,1,TP9+AF7+AF8+TP10,3812.3,1883,268.07,578.35,341.17,,,,,,
2026-06-25T23:20:01,15.832,idle,1,TP9+AF7+AF8+TP10,6301.1,2096.9,287.66,549.1,365.28,,,,,,
2026-06-25T23:20:02,16.840,idle,1,TP9+AF7+AF8+TP10,7425.6,1599.9,223.11,529.94,519.17,,,,,,
